Id,Name,Status__c,WorkPerformedCode__c,WorkPerformedDescription__c
a19DO0000000A2tYAE,62,Active,62,REPLACED CABLE
a19DO0000000A2uYAE,63,Active,63,REPLACED COIL
a19DO0000000A2vYAE,64,Active,64,REPLACED SPRING
a19DO0000000A2wYAE,65,Active,65,REPLACED WIRE / CABLE
a19DO0000000A2xYAE,66,Active,66,RESET BRUSH
a19DO0000000A2yYAE,67,Active,67,SURVEY
a19DO0000000A2zYAE,68,Active,68,TIGHTENED BRUSH
a19DO0000000A30YAE,69,Active,69,TESTED
a19DO0000000A31YAE,70,Active,70,TIGHTENED CABLE
a19DO0000000A32YAE,71,Active,71,TIGHTENED COIL
a19DO0000000A33YAE,72,Active,72,TIGHTENED CONTACT
a19DO0000000A34YAE,73,Active,73,TIGHTENED MICROSWITCH
a19DO0000000A35YAE,74,Active,74,TIGHTENED SPRING
a19DO0000000A36YAE,75,Active,75,TIGHTENED WIRE / CONNECTION
a19DO0000000A37YAE,77,Active,77,INSTALLED
a19DO0000000A38YAE,78,Active,78,OVERHAULED
a19DO0000000A39YAE,79,Active,79,REALIGNED
a19DO0000000A3AYAU,80,Active,80,REGROOVED
a19DO0000000A3BYAU,81,Active,81,REMOVED
a19DO0000000A3CYAU,82,Active,82,REMOVE/REPAIR/REPLACED
a19DO0000000A3DYAU,83,Active,83,TO SHOP FOR REPAIRS
a19DO0000000A3EYAU,84,Active,84,RENEWED
a19DO0000000A3FYAU,85,Active,85,RESOCKETED/ RESHACKLED/ WELDED
a19DO0000000A3GYAU,86,Active,86,REWIRED
a19DO0000000A3HYAU,87,Active,87,SEALED
a19DO0000000A3IYAU,88,Active,88,SHORTENED
a19DO0000000A3JYAU,89,Active,89,SPLICED
a19DO0000000A3KYAU,90,Active,90,TROUBLESHOOT
a19DO0000000A3OYAU,94,Active,94,REPLACED / MICROSWITCH
a19DO0000000A3LYAU,91,Active,91,TURN AND UNDERCUT
a19DO0000000A3MYAU,92,Active,92,UNDERCUT
a19DO0000000A3NYAU,93,Active,93,REPLACED / ADJUSTED BRUSH
a19DO0000000A3PYAU,95,Active,95,REPLACED CONTACT
a19DO0000000A3QYAU,96,Active,96,CLEAN AND ADJUSTED
a19DO0000000A3RYAU,97,Active,97,CHECKED OPERATION
a19DO0000000A3SYAU,98,Active,98,REPLACED BEARINGS
a19DO0000000A3TYAU,99,Active,99,OTHER
a19DO0000000A3UYAU,A1,Active,A1,VERIFY OPERATION
a19DO0000000A3VYAU,A2,Active,A2,BROKEN CAR BUTTON
a19DO0000000A3WYAU,A3,Active,A3,BROKEN HALL BUTTON
a19DO0000000A3XYAU,A4,Active,A4,ACTIVATE EMS SECURITY
a19DO0000000A3YYAU,A5,Active,A5,DEACTIVATE EMS SECURITY
a19DO0000000A3ZYAU,A6,Active,A6,ACTIVATE INDEPENDANT SERVICE
a19DO0000000A3aYAE,A7,Active,A7,DEACTIVATE INDEPENDANT SERVICE
a19DO0000000A3bYAE,A8,Active,A8,REMOTE RESOLUTION
a19DO0000000A3cYAE,B1,Active,B1,ACTIVATE UP PEAK
a19DO0000000A3dYAE,B2,Active,B2,DEACTIVATE UP PEAK
a19DO0000000A3eYAE,B3,Active,B3,ACTIVATE DOWN PEAK
a19DO0000000A3fYAE,B4,Active,B4,DEACTIVATE DOWN PEAK
a19DO0000000A3gYAE,B5,Active,B5,ACTIVATE PARK AND SHUTDOWN
a19DO0000000A3hYAE,B6,Active,B6,DEACTIVATE PARK AND SHUTDOWN
a19DO0000000A3iYAE,C1,Active,C1,CAR TO LANDING
a19DO0000000A3jYAE,C3,Active,C3,PARK INTERVAL
a19DO0000000A3kYAE,C4,Active,C4,MODIFY DOOR OPEN TIME
a19DO0000000A3lYAE,C5,Active,C5,ELEVATOR PROFILE SELECTION
a19DO0000000A3mYAE,C6,Active,C6,VERIFY DOOR OPERATION
a19DO0000000A3nYAE,C7,Active,C7,RESOLVE FRONT DOOR
a19DO0000000A3oYAE,C8,Active,C8,RESOLVE REAR DOOR
a19DO0000000A3pYAE,D1,Active,D1,RELEASE PASSENGER
a19DO0000000A3qYAE,D2,Active,D2,RESET CONTROLLER SOFTWARE
a19DO0000000A3rYAE,D3,Active,D3,AUTO-CAR FULL
a19DO0000000A3sYAE,D4,Active,D4,DISABLE ADVANCE DOOR OPENING
a19DO0000000A3tYAE,D5,Active,D5,NUDGING OPERATION
a19DO0000000A3uYAE,D6,Active,D6,ANTI-NUISANCE OPERATION
a19DO0000000A3vYAE,E1,Active,E1,CAR ON FIRE SERVICE OPERATION
a19DO0000000A3wYAE,E2,Active,E2,CAR ON EMERGENCY STOP BUTTON
a19DO0000000A3xYAE,E3,Active,E3,CAR ON INSPECTION OPERATION
a19DO0000000A3yYAE,E4,Active,E4,CAR ON INDEPENDANT SERVICE
a19DO0000000A3zYAE,C2,Active,C2,LIGHT AND FAN TIMER
a19DO0000000A40YAE,E5,Active,E5,CAR ON SPCL MODE OF OPERATION
a19DO0000000A41YAE,E6,Active,E6,CHANGE SECURITY
