Id,ComponentCode__c,ComponentDescription__c,Name,Status__c
a0yDO000000QRjBYAW,A20,CAR CONTROLLER - WRO OPERATION,A20,Active
a0yDO000000QRjCYAW,L15,SELECTOR - BRUSH,L15,Active
a0yDO000000QRjDYAW,L16,SELECTOR - CIRCUIT,L16,Active
a0yDO000000QRjEYAW,146,FWD SLAVE VEHICLE LEFT #2 DOOR NOT LOCKED WEST LAN,146,Active
a0yDO000000QRjFYAW,021,DOOR FAULT EAST LANE,021,Active
a0yDO000000QRjGYAW,L17,SELECTOR - RELAY,L17,Active
a0yDO000000QRjHYAW,643,VEHICLE CABLE CLAMP,643,Active
a0yDO000000QRjIYAW,644,VEHICLE AIR PAD ASSEMBLY,644,Active
a0yDO000000QRjJYAW,645,VEHICLE CAB WIRING JUNCTION BOX ASSEMBLY,645,Active
a0yDO000000QRjKYAW,646,VEHICLE CHASSIS WIRING JUNCTION BOX ASSEMBLY,646,Active
a0yDO000000QRjLYAW,647,VEHICLE FLOOR JUNCTION BOX DOOR ASSEMBLY,647,Active
a0yDO000000QRjMYAW,648,VEHICLE BATTERY,648,Active
a0yDO000000QRjNYAW,649,VEHICLE AIR CONDITIONING,649,Active
a0yDO000000QRjOYAW,650,VEHICLE PASSENGER DISPLAY,650,Active
a0yDO000000QRjPYAW,651,VEHICLE DOOR OPERATOR,651,Active
a0yDO000000QRjQYAW,652,VEHICLE DOOR ASSEMBLY,652,Active
a0yDO000000QRjRYAW,653,VEHICLE DOOR OPTO COUPLER,653,Active
a0yDO000000QRjSYAW,654,VEHICLE LATERAL GUIDANCE ASSEMBLY,654,Active
a0yDO000000QRjTYAW,655,VEHICLE YAW ASSEMBLY,655,Active
a0yDO000000QRjUYAW,656,VEHICLE BUMPER SWITCH,656,Active
a0yDO000000QRsGYAW,596,CONTROL ROOM CCTV,596,Active
a0yDO000000QRsDYAW,593,CONTROL ROOM COMMUNICATION CABINETS,593,Active
a0yDO000000QRsEYAW,594,CONTROL ROOM WAYSIDE VEHICLE COMMUNICATION,594,Active
a0yDO000000QRsFYAW,595,CONTROL ROOM PA,595,Active
a0yDO000000QRsHYAW,597,CONTROL ROOM DIAGNOSTIC COMMUNICATION,597,Active
a0yDO000000QRsIYAW,598,CONTROL ROOM SUPERVISOR PC,598,Active
a0yDO000000QRsJYAW,605,ELECTRICAL ROOM UPS,605,Active
a0yDO000000QRsKYAW,606,ELECTRICAL ROOM CONVERTER,606,Active
a0yDO000000QRsLYAW,607,ELECTRICAL ROOM MAIN CB PANEL,607,Active
a0yDO000000QRsMYAW,608,ELECTRICAL ROOM DRIVE TRANSFORMER,608,Active
a0yDO000000QRsNYAW,X99,CAR IN SERVICE / CHECKED OPERATION,X99,Active
a0yDO000000QRsOYAW,Y81,NOT EQUIP. RELATED-CUSTOMER TRAVEL TIME,Y81,Active
a0yDO000000QRsPYAW,Y82,NOT EQUIP. RELATED - UNABLE TO GAIN ACCESS TO UNIT,Y82,Active
a0yDO000000QRsQYAW,Y83,NOT EQUIP RELATED-CAR OVERLOADED / PEOPLE JUMPING,Y83,Active
a0yDO000000QRsRYAW,Y84,NOT EQUIP RELATED-ALLOW CAR TOP-PIT ACCESS-RUN CAR,Y84,Active
a0yDO000000QRsSYAW,Y85,NOT EQUIPMENT RELATED - STANDBY,Y85,Active
a0yDO000000QRsTYAW,Y86,NOT EQUIPMENT RELATED - VANE BEHIND ROLLER,Y86,Active
a0yDO000000QRsUYAW,Y87,NOT EQUIPMENT RELATED - KEYS IN PIT,Y87,Active
a0yDO000000QRsVYAW,Y88,NOT EQUIPMENT RELATED - WATER IN PIT,Y88,Active
a0yDO000000QRsWYAW,N99,MOTOR - OTHER,N99,Active
a0yDO000000QRsXYAW,S40,MAIN MACHINE - BRAKE SHOES,S40,Active
a0yDO000000QRsYYAW,S41,MAIN MACHINE - BRAKE SWITCH,S41,Active
a0yDO000000QRsZYAW,S42,MAIN MACHINE - BRUSH RIGGING,S42,Active
a0yDO000000QRsaYAG,S43,MAIN MACHINE - BUSHINGS,S43,Active
a0yDO000000QRsbYAG,626,VEHICLE HVAC CONTROL PANEL ASSEMBLY,626,Active
a0yDO000000QRscYAG,E04,CAR - EMERGENCY EXIT SWITCH,E04,Active
a0yDO000000QRsdYAG,E05,CAR - INSPECTION SWITCH,E05,Active
a0yDO000000QRseYAG,E06,CAR - CAR ON INDEPENDENT SERVICE,E06,Active
a0yDO000000QRsfYAG,627,VEHICLE HVAC FAN CB ASSEMBLY,627,Active
a0yDO000000QRsgYAG,628,VEHICLE MAIN CB PANEL,628,Active
a0yDO000000QRshYAG,629,VEHICLE BLOWER SOFT START ASSEMBLY,629,Active
a0yDO000000QRsiYAG,630,VEHICLE CONTROL VOLT UNIT,630,Active
a0yDO000000QRsjYAG,631,VEHICLE BLOWER,631,Active
a0yDO000000QRskYAG,632,VEHICLE SIGNALLING UNIT,632,Active
a0yDO000000QRslYAG,633,VEHICLE DOOR CONTROL RELAY DRIVERS,633,Active
a0yDO000000QRsmYAG,634,VEHICLE DUMP VALVE JUNCTION BOX-OUT,634,Active
a0yDO000000QRsnYAG,635,VEHICLE DUMP VALVE JUNCTION BOX-INNER,635,Active
a0yDO000000QRsoYAG,636,VEHICLE AFT TERMINAL PANEL ASSEMBLY,636,Active
a0yDO000000QRspYAG,637,VEHICLE AFT TERMINAL PANEL-MANULA CONTROL PANEL,637,Active
a0yDO000000QRsqYAG,638,VEHICLE AFT TERMINAL PANEL-RELAY CONTROL PANEL,638,Active
a0yDO000000QRsrYAG,639,VEHICLE AFT TERMINAL PANEL-CIRCUIT BREAKER PANEL,639,Active
a0yDO000000QRssYAG,640,VEHICLE AFT TERMINAL PANEL-INTER COMMUNICATION PAN,640,Active
a0yDO000000QRstYAG,642,VEHICLE ROPE PIC,642,Active
a0yDO000000QRyaYAG,M18,GENERATOR - MOTOR,M18,Active
a0yDO000000QRyXYAW,H07,GOVERNOR - CAR ON SAFETIES,H07,Active
a0yDO000000QRyYYAW,M16,GENERATOR - INTERPOLES,M16,Active
a0yDO000000QRyZYAW,M17,GENERATOR - ISOLATION,M17,Active
a0yDO000000QRybYAG,M19,GENERATOR - ROTATING ELEMENT,M19,Active
a0yDO000000QRycYAG,M20,GENERATOR - WINDINGS,M20,Active
a0yDO000000QRydYAG,H10,GOVERNOR - BUSHING,H10,Active
a0yDO000000QRyeYAG,H11,GOVERNOR - CAM,H11,Active
a0yDO000000QRyfYAG,H12,GOVERNOR - CONTACTS,H12,Active
a0yDO000000QRygYAG,H13,GOVERNOR - GEARS,H13,Active
a0yDO000000QRyhYAG,H14,GOVERNOR - JAWS,H14,Active
a0yDO000000QRyiYAG,H15,GOVERNOR - REBUILD CAR GOVERNOR,H15,Active
a0yDO000000QRyjYAG,H16,GOVERNOR - SHAFT,H16,Active
a0yDO000000QRykYAG,H17,GOVERNOR - SWITCHES,H17,Active
a0yDO000000QRylYAG,H04,GOVERNOR - BEARINGS - COUNTERWEIGHT GOVERNOR,H04,Active
a0yDO000000QRymYAG,H05,GOVERNOR - SHEAVE - COUNTERWEIGHT GOVERNOR,H05,Active
a0yDO000000QRynYAG,H18,GOVERNOR PULL THRU,H18,Active
a0yDO000000QRyoYAG,H19,GOVERNOR SPIN TEST,H19,Active
a0yDO000000QRypYAG,H99,GOVERNOR - OTHER,H99,Active
a0yDO000000QRyqYAG,J01,HALL FIXTURE - BUTTON,J01,Active
a0yDO000000QRyrYAG,J02,HALL FIXTURE - HPI/ROTOMATIC DIAL,J02,Active
a0yDO000000QRysYAG,J03,HALL FIXTURE - LANTERN,J03,Active
a0yDO000000QRytYAG,J04,HALL FIXTURE - BUTTON PC BOARD,J04,Active
a0yDO000000QRyuYAG,J05,HALL FIXTURE - KEY SWITCH,J05,Active
a0yDO000000QRyvYAG,J06,HALL FIXTURE - HALL POSITION INDICATOR PC BOARD,J06,Active
a0yDO000000QRywYAG,200,AFT SLAVE VEHICLE FWD BLOWER OIL PLUMBING FAULT EA,200,Active
a0yDO000000QRyxYAG,214,MASTER VEHICLE AFT BLOWER OIL COOLING EQUIPMENT FA,214,Active
a0yDO000000QRyyYAG,215,MASTER VEHICLE AFT BLOWER PRESSURE SWITCH CK1 FAUL,215,Active
a0yDO000000QRyzYAG,216,MASTER VEHICLE AFT BLOWER PRESSURE SWITCH CK2 FAUL,216,Active
a0yDO000000QRz0YAG,J08,HALL FIXTURE - ROTOMATIC DIAL,J08,Active
a0yDO000000QRz1YAG,J10,HALL FIXTURE - CRT DISPLAY,J10,Active
a0yDO000000QRz2YAG,J11,HALL FIXTURE - FACE PLATE,J11,Active
a0yDO000000QRz3YAG,L40,SELECTOR - GUIDES,L40,Active
a0yDO000000QRz4YAG,L41,SELECTOR - LEVELING CAM,L41,Active
a0yDO000000QRz5YAG,L42,SELECTOR - PRIMARY POSITION TRANSDUCER,L42,Active
a0yDO000000QRz6YAG,L43,SELECTOR - REBUILD SELECTOR,L43,Active
a0yDO000000QRz7YAG,L44,SELECTOR - SHEAVE,L44,Active
a0yDO000000QRz8YAG,R04,GEAR CASE - GEAR CASE / ADDED OIL,R04,Active
a0yDO000000QRz9YAG,R05,GEAR CASE - COUPLING(MOTOR TO GEAR CASE),R05,Active
a0yDO000000QRzAYAW,R99,GEAR CASE - OTHER,R99,Active
a0yDO000000QRzBYAW,J12,HALL FIXTURE - GONG,J12,Active
a0yDO000000QRzCYAW,J13,HALL FIXTURE - INTERCOM,J13,Active
a0yDO000000QRzDYAW,J14,HALL FIXTURE - SECURITY,J14,Active
a0yDO000000QRzEYAW,J15,HALL FIXTURE - STARTER PANEL,J15,Active
a0yDO000000QRjYYAW,A01,CAR CONTROLLER - RELAY,A01,Active
a0yDO000000QRjVYAW,657,VEHICLE E-STOP,657,Active
a0yDO000000QRjWYAW,658,VEHICLE WAYSIDE/VEHICLE COMMUNICATION EQUIPMENT,658,Active
a0yDO000000QRjXYAW,659,VEHICLE DIAGNOSTIC COMMUNICATION EQUIPMENT,659,Active
a0yDO000000QRjZYAW,A02,CAR CONTROLLER - RESISTOR,A02,Active
a0yDO000000QRjaYAG,A03,CAR CONTROLLER - RECTIFIER,A03,Active
a0yDO000000QRjbYAG,A04,CAR CONTROLLER - OVERLOAD,A04,Active
a0yDO000000QRjcYAG,A05,"CAR CONTROLLER - PC BOARD, PROCESSOR",A05,Active
a0yDO000000QRjdYAG,A06,CAR CONTROLLER - FUSE / BREAKER,A06,Active
a0yDO000000QRjeYAG,A07,CAR CONTROLLER - TRANSFORMER,A07,Active
a0yDO000000QRjfYAG,E15,CAR - TOP OF CAR INSPECTION,E15,Active
a0yDO000000QRjgYAG,641,VEHICLE POWER COIL ARM,641,Active
a0yDO000000QRjhYAG,E16,CAR - TERMINAL MOTION SWITCH,E16,Active
a0yDO000000QRjiYAG,E17,CAR - CAR GUIDES,E17,Active
a0yDO000000QRjjYAG,B99,GROUP CONTROLLER - OTHER,B99,Active
a0yDO000000QRjkYAG,C01,STARTER PANEL - RELAY/SWITCH,C01,Active
a0yDO000000QRjlYAG,C02,STARTER PANEL - RESISTOR,C02,Active
a0yDO000000QRjmYAG,169,AFT SLAVE VEHICLE AFT E-STOP PUSHBUTTON ACTIVATED,169,Active
a0yDO000000QRjnYAG,170,AFT SLAVE VEHICLE FWD E-STOP PUSHBUTTON ACTIVATED,170,Active
a0yDO000000QRjoYAG,171,AFT SLAVE VEHICLE PHASE LOSS EAST LANE,171,Active
a0yDO000000QRjpYAG,172,MASTER VEHICLE FWD BLOWER MOTOR TEMPERATURE HIGH E,172,Active
a0yDO000000QRjqYAG,173,MASTER VEHICLE FWD BLOWER OIL COOLING EQUIPMENT FA,173,Active
a0yDO000000QRjrYAG,174,MASTER VEHICLE FWD BLOWER PRESSURE SWITCH CK1 FAUL,174,Active
a0yDO000000QRjsYAG,175,MASTER VEHICLE FWD BLOWER PRESSURE SWITCH CK2 FAUL,175,Active
a0yDO000000QRjtYAG,176,MASTER VEHICLE FWD BLOWER OIL PLUMBING FAULT EAST,176,Active
a0yDO000000QRjuYAG,177,MASTER VEHICLE AFT BLOWER MOTOR TEMPERATURE HIGH E,177,Active
a0yDO000000QRjvYAG,178,MASTER VEHICLE AFT BLOWER OIL COOLING EQUIPMENT FA,178,Active
a0yDO000000QRjwYAG,179,MASTER VEHICLE AFT BLOWER PRESSURE SWITCH CK1 FAUL,179,Active
a0yDO000000QRjxYAG,180,MASTER VEHICLE AFT BLOWER PRESSURE SWITCH CK2 FAUL,180,Active
a0yDO000000QRjyYAG,T25,ESCALATOR - TRAILER ROLLER,T25,Active
a0yDO000000QRjzYAG,T26,ESCALATOR - TREAD,T26,Active
a0yDO000000QRk0YAG,T27,ESCALATOR - BALUSTRADE LIGHTS,T27,Active
a0yDO000000QRk1YAG,T28,ESCALATOR - BALUSTRADE LIGHTS,T28,Active
a0yDO000000QRk2YAG,T29,ESCALATOR - DEMARCATION LIGHTS,T29,Active
a0yDO000000QRk3YAG,T30,ESCALATOR - LANDING PLATE,T30,Active
a0yDO000000QRk4YAG,T31,ESCALATOR - SKIRT,T31,Active
a0yDO000000QRk5YAG,T32,ESCALATOR - SWITHCES,T32,Active
a0yDO000000QRk6YAG,T33,ESCALATOR - TENSION CARRIAGE,T33,Active
a0yDO000000QRk7YAG,T34,ESCALATOR - TRACK,T34,Active
a0yDO000000QRk8YAG,T35,ESCALATOR - BALUSTRADE,T35,Active
a0yDO000000QRk9YAG,T36,ESCALATOR - COUNTERSHAFT,T36,Active
a0yDO000000QRkAYAW,T37,ESCALATOR - DRIVE SPROCKET,T37,Active
a0yDO000000QRsxYAG,646,VEHICLE CHASSIS WIRING JUNCTION BOX ASSEMBLY,646,Active
a0yDO000000QRsuYAG,643,VEHICLE CABLE CLAMP,643,Active
a0yDO000000QRsvYAG,644,VEHICLE AIR PAD ASSEMBLY,644,Active
a0yDO000000QRswYAG,645,VEHICLE CAB WIRING JUNCTION BOX ASSEMBLY,645,Active
a0yDO000000QRsyYAG,647,VEHICLE FLOOR JUNCTION BOX DOOR ASSEMBLY,647,Active
a0yDO000000QRszYAG,648,VEHICLE BATTERY,648,Active
a0yDO000000QRt0YAG,649,VEHICLE AIR CONDITIONING,649,Active
a0yDO000000QRt1YAG,650,VEHICLE PASSENGER DISPLAY,650,Active
a0yDO000000QRt2YAG,651,VEHICLE DOOR OPERATOR,651,Active
a0yDO000000QRt3YAG,652,VEHICLE DOOR ASSEMBLY,652,Active
a0yDO000000QRt4YAG,653,VEHICLE DOOR OPTO COUPLER,653,Active
a0yDO000000QRt5YAG,654,VEHICLE LATERAL GUIDANCE ASSEMBLY,654,Active
a0yDO000000QRt6YAG,655,VEHICLE YAW ASSEMBLY,655,Active
a0yDO000000QRt7YAG,656,VEHICLE BUMPER SWITCH,656,Active
a0yDO000000QRt8YAG,657,VEHICLE E-STOP,657,Active
a0yDO000000QRt9YAG,659,VEHICLE DIAGNOSTIC COMMUNICATION EQUIPMENT,659,Active
a0yDO000000QRtAYAW,A01,CAR CONTROLLER - RELAY,A01,Active
a0yDO000000QRtBYAW,A02,CAR CONTROLLER - RESISTOR,A02,Active
a0yDO000000QRtCYAW,A03,CAR CONTROLLER - RECTIFIER,A03,Active
a0yDO000000QRtDYAW,A04,CAR CONTROLLER - OVERLOAD,A04,Active
a0yDO000000QRtEYAW,A05,"CAR CONTROLLER - PC BOARD, PROCESSOR",A05,Active
a0yDO000000QRtFYAW,A06,CAR CONTROLLER - FUSE / BREAKER,A06,Active
a0yDO000000QRtGYAW,A07,CAR CONTROLLER - TRANSFORMER,A07,Active
a0yDO000000QRtHYAW,E15,CAR - TOP OF CAR INSPECTION,E15,Active
a0yDO000000QRtIYAW,641,VEHICLE POWER COIL ARM,641,Active
a0yDO000000QRtJYAW,E16,CAR - TERMINAL MOTION SWITCH,E16,Active
a0yDO000000QRtKYAW,E17,CAR - CAR GUIDES,E17,Active
a0yDO000000QRtLYAW,E18,CAR - CAR TOP,E18,Active
a0yDO000000QRtMYAW,E19,PC SOFTWARE/REMOTE STATION & IO BOARD,E19,Active
a0yDO000000QRtNYAW,E20,CAR - COP POWER SUPPLY,E20,Active
a0yDO000000QRtOYAW,E21,CAR - CAB CONTROLLER POWER SUPPLY,E21,Active
a0yDO000000QRtPYAW,E22,CAR - CAB CONTROLLER POWER AMPLIFIER,E22,Active
a0yDO000000QRtQYAW,E23,CAR - CAB CONTROLLER PC BOARD,E23,Active
a0yDO000000QRtRYAW,E24,CAR - INFORMATION DISPLAY,E24,Active
a0yDO000000QRtSYAW,658,VEHICLE WAYSIDE/VEHICLE COMMUNICATION EQUIPMENT,658,Active
a0yDO000000QRtTYAW,E25,CAR - SECONDARY POSITION TRANSDUCER (SPT),E25,Active
a0yDO000000QRtUYAW,E26,CAR - POR(POWER ON RESET),E26,Active
a0yDO000000QRtVYAW,E27,CAR - TAPE READER,E27,Active
a0yDO000000QRtWYAW,E28,CAR - FAN MOTOR,E28,Active
a0yDO000000QRtXYAW,E29,CAR - FAN,E29,Active
a0yDO000000QRtYYAW,E30,CAR - ELECTRICAL PROBLEM,E30,Active
a0yDO000000QRtZYAW,E31,CAR - EJECTOR,E31,Active
a0yDO000000QRtaYAG,E32,CAR - ROLLER / SLIDE GUIDE,E32,Active
a0yDO000000QRtbYAG,E33,CAR - SWITCHES,E33,Active
a0yDO000000QRzIYAW,S27,MAIN MACHINE - ROPE GRIPPER,S27,Active
a0yDO000000QRzFYAW,J16,HALL FIXTURE - SWITCHES,J16,Active
a0yDO000000QRzGYAW,J99,HALL FIXTURE - OTHER,J99,Active
a0yDO000000QRzHYAW,S01,MAIN MACHINE - DRIVE SHEAVE,S01,Active
a0yDO000000QRzJYAW,S30,MAIN MACHINE - A-STAND,S30,Active
a0yDO000000QRzKYAW,S31,"MAIN MACHINE - BEARING, MOTOR",S31,Active
a0yDO000000QRzLYAW,S32,"MAIN MACHINE - BEARING, SHEAVE",S32,Active
a0yDO000000QRzMYAW,L45,SELECTOR - SIGNAL DRIVE,L45,Active
a0yDO000000QRzNYAW,L46,SELECTOR - TRAVELING CABLE,L46,Active
a0yDO000000QRzOYAW,S02,MAIN MACHINE - DRIVE SHEAVE INSERT,S02,Active
a0yDO000000QRzPYAW,S03,MAIN MACHINE - BRAKE,S03,Active
a0yDO000000QRzQYAW,J07,HALL FIXTURE - LANTERN PC BOARD,J07,Active
a0yDO000000QRzRYAW,S33,"MAIN MACHINE - BEARING, THRUST",S33,Active
a0yDO000000QRzSYAW,S34,MAIN MACHINE - BED RING,S34,Active
a0yDO000000QRzTYAW,S35,MAIN MACHINE - BLOWER,S35,Active
a0yDO000000QRzUYAW,S36,MAIN MACHINE - BRAKE COIL,S36,Active
a0yDO000000QRzVYAW,S04,MAIN MACHINE - PRIMARY VELOCITY TRANSDUCER (PVT),S04,Active
a0yDO000000QRzWYAW,S37,MAIN MACHINE - BRAKE CORE,S37,Active
a0yDO000000QRzXYAW,S05,MAIN MACHINE - ADDED OIL,S05,Active
a0yDO000000QRzYYAW,S06,MAIN MACHINE - ARMATURE,S06,Active
a0yDO000000QRzZYAW,S07,MAIN MACHINE - BEARINGS,S07,Active
a0yDO000000QRzaYAG,S08,MAIN MACHINE - BELT,S08,Active
a0yDO000000QRzbYAG,S38,MAIN MACHINE - BRAKE LINING,S38,Active
a0yDO000000QRzcYAG,183,MASTER VEHICLE FWD BLOWER FAULT EAST LANE,183,Active
a0yDO000000QRzdYAG,184,FWD SLAVE VEHICLE FWD BLOWER MOTOR TEMPERATURE HIG,184,Active
a0yDO000000QRzeYAG,185,FWD SLAVE VEHICLE FWD BLOWER OIL COOLING EQUIPMENT,185,Active
a0yDO000000QRzfYAG,186,FWD SLAVE VEHICLE FWD BLOWER PRESSURE SWITCH CK1 F,186,Active
a0yDO000000QRzgYAG,187,FWD SLAVE VEHICLE FWD BLOWER PRESSURE SWITCH CK2 F,187,Active
a0yDO000000QRzhYAG,188,FWD SLAVE VEHICLE FWD BLOWER OIL PLUMBING FAULT EA,188,Active
a0yDO000000QRziYAG,168,AFT SLAVE VEHICLE RIGHT #3 DOOR NOT LOCKED EAST LA,168,Active
a0yDO000000QRzjYAG,189,FWD SLAVE VEHICLE AFT BLOWER MOTOR TEMPERATURE HIG,189,Active
a0yDO000000QRzkYAG,190,FWD SLAVE VEHICLE AFT BLOWER OIL COOLING EQUIPMENT,190,Active
a0yDO000000QRzlYAG,191,FWD SLAVE VEHICLE AFT BLOWER PRESSURE SWITCH CK1 F,191,Active
a0yDO000000QRzmYAG,181,MASTER VEHICLE AFT BLOWER OIL PLUMBING FAULT EAST,181,Active
a0yDO000000QRznYAG,182,MASTER VEHICLE AFT BLOWER FAULT EAST LANE,182,Active
a0yDO000000QRzoYAG,192,FWD SLAVE VEHICLE AFT BLOWER PRESSURE SWITCH CK2 F,192,Active
a0yDO000000QRzpYAG,193,FWD SLAVE VEHICLE AFT BLOWER OIL PLUMBING FAULT EA,193,Active
a0yDO000000QRzqYAG,194,FWD SLAVE VEHICLE AFT BLOWER FAULT EAST LANE,194,Active
a0yDO000000QRzrYAG,195,FWD SLAVE VEHICLE FWD BLOWER FAULT EAST LANE,195,Active
a0yDO000000QRkEYAW,165,AFT SLAVE VEHICLE LEFT #3 DOOR NOT LOCKED EAST LAN,165,Active
a0yDO000000QRkBYAW,T38,ESCALATOR - DRIVE CHAIN,T38,Active
a0yDO000000QRkCYAW,T39,ESCALATOR - GUARD,T39,Active
a0yDO000000QRkDYAW,T40,ESCALATOR - GUIDE,T40,Active
a0yDO000000QRkFYAW,166,AFT SLAVE VEHICLE RIGHT #1 DOOR NOT LOCKED EAST LA,166,Active
a0yDO000000QRkGYAW,167,AFT SLAVE VEHICLE RIGHT #2 DOOR NOT LOCKED EAST LA,167,Active
a0yDO000000QRkHYAW,504,GUIDEWAY ROPE,504,Active
a0yDO000000QRkIYAW,505,GUIDEWAY SUPPORT SHEAVE,505,Active
a0yDO000000QRkJYAW,506,GUIDEWAY POWER RAIL,506,Active
a0yDO000000QRkKYAW,520,STATION DOOR OPTO COUPLER,520,Active
